workout_id,workout_name,start_time,end_time,duration_mins,nth_workout,estimated_volume_kg,exercise_count,exercises_performed
Workout_159,Shoulder,2025-08-31 00:11:28,2025-08-31 01:00:54,49.43333333333333,159,6935.0,7,"Warm Up, Overhead Press (Dumbbell), Lateral Raise (Dumbbell), Face Pull, Seated Shoulder Press (Machine), Shrug (Dumbbell), Treadmill"
Workout_160,Legs,2025-09-01 00:13:47,2025-09-01 01:12:09,58.36666666666667,160,10600.0,7,"Warm Up, Leg Press (Machine), Lunge (Dumbbell), Squat (Machine), Leg Extension (Machine), Seated Leg Curl (Machine), Seated Calf Raise"
Workout_161,Back,2025-09-02 00:08:38,2025-09-02 01:26:36,77.96666666666667,161,8617.5,9,"Warm Up, Lat Pulldown (Cable), Back Extension (Weighted Hyperextension), T Bar Row, Iso-Lateral High Row (Machine), Dumbbell Row, Bicep Curl (Dumbbell), Hammer Curl (Dumbbell), Bicep Curl (Barbell)"
Workout_162,Chest,2025-09-03 00:18:16,2025-09-03 01:24:22,66.1,162,7455.0,9,"Warm Up, Bench Press (Barbell), Incline Bench Press (Dumbbell), Bench Press (Dumbbell), Iso-Lateral Chest Press (Machine), Chest Fly (Machine), Triceps Extension (Dumbbell), Rope Straight Arm Pulldown, Treadmill"
Workout_163,Shoulders,2025-09-07 00:25:34,2025-09-07 01:22:51,57.28333333333333,163,7590.0,8,"Warm Up, Shoulder Press (Machine Plates), Face Pull, Lateral Raise (Dumbbell), Plate Front Raise, Overhead Press (Dumbbell), Shrug (Dumbbell), Treadmill"
Workout_164,Legs,2025-09-09 00:16:52,2025-09-09 01:27:06,70.23333333333333,164,9010.0,7,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Walking Lunge (Dumbbell), Squat (Machine), Seated Calf Raise, Treadmill"
Workout_165,Back+biceps,2025-09-10 00:26:21,2025-09-10 01:32:10,65.81666666666666,165,6795.0,7,"Warm Up, Lat Pulldown (Cable), Seated Row (Machine), Back Extension (Weighted Hyperextension), Iso-Lateral High Row (Machine), Bicep Curl (Dumbbell), Bicep Curl (Machine)"
Workout_166,Chest + tricep,2025-09-11 00:20:38,2025-09-11 01:29:26,68.8,166,7975.0,8,"Warm Up, Bench Press (Barbell), Incline Bench Press (Dumbbell), Bench Press (Dumbbell), Iso-Lateral Chest Press (Machine), Chest Fly (Machine), Triceps Extension (Dumbbell), Triceps Rope Pushdown"
Workout_167,Shoulder,2025-09-13 00:17:16,2025-09-13 01:10:55,53.65,167,7430.0,7,"Warm Up, Seated Shoulder Press (Machine), Face Pull, Lateral Raise (Dumbbell), Plate Front Raise, Overhead Press (Dumbbell), Shrug (Dumbbell)"
Workout_168,Legs,2025-09-16 01:04:38,2025-09-16 02:06:49,62.18333333333333,168,7390.0,5,"Warm Up, Leg Press (Machine), Leg Extension (Machine), Walking Lunge (Dumbbell), Seated Calf Raise"
Workout_169,Chest,2025-09-18 00:59:14,2025-09-18 01:58:57,59.71666666666667,169,8260.0,8,"Warm Up, Bench Press (Dumbbell), Incline Bench Press (Dumbbell), Bench Press (Barbell), Chest Fly (Machine), Triceps Rope Pushdown, Seated Dip Machine, Treadmill"
Workout_170,Back+lats,2025-09-21 00:47:26,2025-09-21 01:30:15,42.81666666666667,170,4005.0,5,"Warm Up, Lat Pulldown (Cable), Dumbbell Row, Iso-Lateral High Row (Machine), Back Extension (Weighted Hyperextension)"
Workout_171,Legs,2025-09-22 01:36:35,2025-09-22 02:40:47,64.2,171,11370.0,7,"Warm Up, Leg Press (Machine), Lunge (Dumbbell), Leg Extension (Machine), Lying Leg Curl (Machine), Seated Calf Raise, Squat (Machine)"
Workout_172,Shoulder,2025-09-24 01:39:06,2025-09-24 02:38:46,59.666666666666664,172,9100.0,8,"Warm Up, Overhead Press (Dumbbell), Lateral Raise (Dumbbell), Face Pull, Upright Row (Barbell), Shrug (Dumbbell), Seated Dip Machine, Treadmill"
Workout_173,Back,2025-09-27 01:56:20,2025-09-27 02:41:08,44.8,173,4953.5,7,"Warm Up, Iso-Lateral Row (Machine), Lat Pulldown (Cable), Pull Up (Assisted), Back Extension (Weighted Hyperextension), Bicep Curl (Dumbbell), Elliptical Trainer"
